week,num_nodes,num_edges,density,average_degree,clustering_coefficient,number_of_components,largest_component_size,label
2019-01-28,138521,5381381,0.0005609131681106937,77.69769204669328,0.8077674484219753,9935,111842,2019
2019-02-04,293793,36204498,0.0008389017803515391,246.4626318530394,0.7938097955766124,11434,263893,2019
2019-02-11,373199,62236361,0.0008937054531335111,333.5290876985201,0.790161951397766,11814,342312,2019
2019-02-18,392015,92368025,0.0012021188050615572,471.2474012474012,0.7871664376748705,12187,360406,2019
2019-02-25,400425,97360184,0.0012144233187616656,486.2842429918212,0.809027913173841,12530,367953,2019
2019-03-04,401395,92032162,0.0011424225984991042,458.56157650194945,0.798936612091844,12282,369543,2019
2019-03-11,398924,59533199,0.0007481866833378512,298.46887627718564,0.7940298900474924,12868,365759,2019
2019-03-18,402231,57718920,0.0007135069278019283,286.99389156976963,0.7855609674581552,12830,368754,2019
2019-03-25,408838,68204264,0.0008160937925861684,333.6493378795513,0.7802047826947287,13050,374805,2019
2019-04-01,401606,63406753,0.0007862600432064405,315.76596465192256,0.7921555968267415,13331,366944,2019
2019-04-08,417418,84529187,0.0009702762081026114,405.0097839575677,0.7822305396124647,13499,382381,2019
2019-04-15,399858,65855252,0.0008237774869117643,329.3931945840773,0.7789694958329043,12372,367894,2019
2019-04-22,435196,195707550,0.002066658810139135,899.3995808785007,0.7940295931298099,12801,402093,2019
2019-04-29,179883,9402631,0.0005811678202219897,104.54162983717194,0.8212007183060589,12030,147468,2019
2020-01-27,85606,1873321,0.0005112565215195707,43.76611452468285,0.7947594471861495,7087,67193,2020
2020-02-03,344864,27704301,0.0004658892930276371,160.66797926139,0.7785354176266026,12227,313821,2020
2020-02-10,356071,29023256,0.00045782988650109403,163.01948768644456,0.7698836158087558,12236,325074,2020
2020-02-17,364334,40439094,0.0006093028379324946,221.98913085245957,0.7738047202291761,12521,332587,2020
2020-02-24,371421,41936985,0.0006079886324152071,225.8191378516562,0.769043227712541,12064,340984,2020
2020-03-02,379095,41204774,0.0005734328451564198,217.38495100172779,0.7886841790654101,12310,347754,2020
2020-03-09,373830,37699144,0.0005395284433097688,201.69137843404755,0.7782013011794591,11227,345609,2020
2020-03-16,369576,43466637,0.0006364725670938246,235.22434898370025,0.7833947278714469,11125,341301,2020
2020-03-23,387091,35174409,0.00046949587282698615,181.73715741259807,0.768495330699911,11552,357802,2020
2020-03-30,395867,37355780,0.0004767495611925654,188.7289417910561,0.7815019136794346,11632,366353,2020
2020-04-06,393302,37749249,0.0004880756104788971,191.96062567696072,0.7831161976230174,11758,363700,2020
2020-04-13,410511,50782893,0.000602696811534251,247.41306810292537,0.7895019567978724,11620,381482,2020
2020-04-20,410246,41614657,0.0004945254686071665,202.87660086874703,0.7743598203885703,11752,380776,2020
2020-04-27,301160,16182032,0.0003568370303556057,107.46468322486386,0.7791685031767336,11793,270951,2020
