week,week_label,CommitCommentEvent,CreateEvent,DeleteEvent,ForkEvent,GollumEvent,IssueCommentEvent,IssuesEvent,MemberEvent,PublicEvent,PullRequestEvent,PullRequestReviewCommentEvent,PushEvent,ReleaseEvent,WatchEvent
2019-01-28,Jan_4th_week,8654.333333333332,181533.3333333333,78451.33333333334,185425.3333333333,22558.666666666664,392163.3333333334,166618.6666666667,5630.333333333334,16.333333333333336,294191.3333333334,110931.33333333334,1145314.3333333335,11494.0,535453.3333333333
2019-02-04,Feb_1st_week,12444.0,308282.0,145104.0,222698.0,26762.0,599118.0,240941.0,10022.0,18.0,459303.0,195151.0,1566666.0,17755.0,607293.0
2019-02-11,Feb_2nd_week,13602.0,357496.0,200770.0,290893.0,34338.0,697611.0,273167.0,10480.0,19.0,510169.99999999994,227078.0,1691404.0,18995.0,859397.0
2019-02-18,Feb_3rd_week,13554.0,358359.0,168658.0,324114.0,28223.0,687391.0,284016.0,10635.0,16.0,526903.0,220527.0,1729327.0,19912.0,905197.0
2019-02-25,Feb_4th_week,13525.0,375301.0,176694.0,331578.0,26825.0,706922.0,290664.0,11114.0,14.0,538825.0,231135.00000000003,1802644.0,21244.0,929268.0
2019-03-04,Mar_1st_week,13967.0,350472.0,169837.0,325092.0,27728.0,699814.0,279558.0,9759.0,22.0,532325.0,226391.0,1771853.0,20336.0,939633.0
2019-03-11,Mar_2nd_week,13853.0,355490.0,161060.0,327166.0,28487.0,678947.0,278395.0,11074.0,15.0,528881.0,222245.0,1776363.0,20301.0,911580.0
2019-03-18,Mar_3rd_week,13367.0,356167.0,173491.0,335035.0,24210.0,679649.0,274765.0,11004.0,25.0,547065.0,222011.0,1876760.9999999998,19628.0,921349.0
2019-03-25,Mar_4th_week,13106.0,394644.0,207857.0,340641.0,24880.0,726760.0,306244.0,11020.0,17.0,547396.0,231332.0,1820475.0,21441.0,1131942.0
2019-04-01,Apr_1st_week,13827.0,377884.0,181901.0,333357.0,24879.0,678166.0,276126.0,11015.0,18.0,558781.0,228671.0,1852563.0,20686.0,968336.0
2019-04-08,Apr_2nd_week,23725.0,364485.0,172183.0,343771.0,24403.0,678236.0,272791.0,10068.0,24.0,536500.0,227004.0,1816352.0,19523.0,1017159.0
2019-04-15,Apr_3rd_week,13941.0,335741.0,164451.0,318357.0,21733.0,618631.0,253092.0,8780.0,17.0,503729.0,207562.0,1719830.0,18822.0,1004400.9999999999
2019-04-22,Apr_4th_week,15123.0,341891.0,180044.0,425566.0,23962.0,646910.0,261893.00000000003,9139.0,21.0,521829.0,209947.0,1811320.0,19661.0,1040727.0
2019-04-29,Apr_5th_week,16271.5,416066.0,196528.5,370597.5,27118.0,754145.0,300254.5,11889.5,7.0,634259.5,275719.5,2084309.5,24020.5,1033676.0
