week,num_nodes,num_edges,density,average_degree,clustering_coefficient,number_of_components,largest_component_size,label
2019-01-28,211581,8454242,0.00037770557285077234,79.9149451037664,0.09597847895138917,18964,156765,2019
2019-02-04,480399,55696647,0.0004826760624809601,231.87661506372828,0.07873761865585398,27521,399571,2019
2019-02-11,603490,96234031,0.0005284686593859025,318.92502278413895,0.1047103778166278,29187,517258,2019
2019-02-18,637303,157593146,0.0007760256509085745,494.56269937533636,0.1302226641605871,30273,548290,2019
2019-02-25,654151,177131433,0.0008278855003696463,541.5613000668042,0.10669968374590666,31398,561772,2019
2019-03-04,657512,212112636,0.0009812729577010953,645.1977636910049,0.11078010526581741,31236,566035,2019
2019-03-11,653017,101479336,0.00047594777706824704,310.8015135899984,0.08588810372633901,32585,557154,2019
2019-03-18,660360,108048690,0.0004955513246770766,327.2417772124296,0.10268024820007575,33464,562828,2019
2019-03-25,673418,121883176,0.0005375327900526913,361.98371887891324,0.12267704630813951,34016,573438,2019
2019-04-01,662521,112049999,0.0005105557959444852,338.25342592914035,0.09711810182571054,34963,559939,2019
2019-04-08,689125,168516452,0.0007097034585883867,489.0736861962634,0.12777737430268393,35431,586236,2019
2019-04-15,653564,182876501,0.0008562731371986671,559.6284403669724,0.10036481143560427,32248,560429,2019
2019-04-22,716800,415743947,0.0016183056228043506,1159.9998521205357,0.17161275680133617,33686,618461,2019
2019-04-29,275254,17699952,0.00046723609364783205,128.6081364848467,0.10162910628019321,23879,206056,2019
2020-01-27,148966,3289262,0.0002964538304153165,44.16124484781762,0.08916666666666667,15301,104579,2020
2020-02-03,618471,56837500,0.0002971850677156511,183.80004883009875,0.05947582091111503,32721,522500,2020
2020-02-10,644217,53780035,0.00025917158707397146,166.96248313844558,0.05470634920634921,32773,548627,2020
2020-02-17,662083,75031329,0.00034233272484403385,226.6523351301876,0.05783901098901098,34500,561528,2020
2020-02-24,674941,77228961,0.00033906207069530616,228.84655399508995,0.05547770562770564,34129,575785,2020
2020-03-02,694879,84397364,0.00034957561392706974,242.91240345441437,0.07322290403954491,35332,591453,2020
2020-03-09,687712,87769609,0.0003711603587711359,255.25106149085664,0.06861877566877567,33591,590706,2020
2020-03-16,686440,100275221,0.0004256171221532716,292.1601917137696,0.10041291172595518,32258,594042,2020
2020-03-23,733344,89225169,0.0003318199403834859,243.33783054064668,0.044757142857142856,35133,632133,2020
2020-03-30,759892,93337212,0.0003232820911994526,245.65915156364326,0.06614415204678364,36028,656249,2020
2020-04-06,763961,95332614,0.0003266853720304492,249.574556816382,0.042887878787878794,36732,658778,2020
2020-04-13,806437,125713465,0.00038660853752036273,311.77504256377125,0.064036568986569,38496,696750,2020
2020-04-20,810568,91598260,0.0002788295812007065,226.01005714511305,0.06842339181286548,39434,697245,2020
2020-04-27,573402,34258620,0.00020839256060265924,119.49250264212542,0.04003333333333334,34361,474827,2020
