CommitCommentEvent_2019,CreateEvent_2019,DeleteEvent_2019,ForkEvent_2019,GollumEvent_2019,IssueCommentEvent_2019,IssuesEvent_2019,MemberEvent_2019,PublicEvent_2019,PullRequestEvent_2019,PullRequestReviewCommentEvent_2019,PushEvent_2019,ReleaseEvent_2019,WatchEvent_2019,CommitCommentEvent_2020,CreateEvent_2020,DeleteEvent_2020,ForkEvent_2020,GollumEvent_2020,IssueCommentEvent_2020,IssuesEvent_2020,MemberEvent_2020,PullRequestEvent_2020,PullRequestReviewCommentEvent_2020,PushEvent_2020,ReleaseEvent_2020,WatchEvent_2020
9.12,17.14,42.25,38.34,14.96,17.22,14.29,1.74,-20.0,13.27,15.51,8.15,10.16,42.78,-1.69,25.26,27.69,5.93,-2.88,8.09,0.84,-1.37,20.55,2.17,2.09,5.48,5.67
2.46,-0.85,-20.99,10.86,-2.98,-1.66,1.95,8.72,25.0,1.41,-2.81,0.54,2.83,5.18,-7.58,-18.39,-16.41,1.19,0.72,-6.07,-0.78,-1.29,-17.44,-3.22,-1.53,-6.08,4.89
-3.73,4.18,7.53,3.36,14.82,3.01,3.18,-0.77,0.0,1.81,4.9,6.24,6.76,2.39,2.04,105.86,80.78,3.36,-0.57,24.21,7.09,-4.56,86.18,2.35,1.79,4.21,0.62
3.02,-7.89,-3.97,-0.43,7.95,-1.17,-3.76,-14.3,40.0,-1.52,-1.54,-2.06,-5.18,1.36,-2.02,-27.17,2.01,2.43,8.19,1.16,-5.58,-2.13,-16.32,3.82,2.92,-0.76,2.41
1.94,2.18,-6.07,-1.92,-0.64,-3.06,-0.45,9.33,-28.57,-1.02,-1.89,-1.28,1.32,-3.65,7.79,76.8,-34.66,-0.11,-11.94,-14.06,6.55,3.43,29.46,1.18,1.15,-4.63,-2.31
-2.95,-1.27,11.22,3.95,-15.85,-0.35,-2.03,3.56,80.0,3.16,-0.28,4.89,-2.6,1.83,16.56,-41.83,0.89,-1.47,4.29,-0.27,-5.42,15.83,-32.57,6.48,3.1,13.04,-1.21
-2.19,15.26,18.27,0.05,0.85,7.05,5.77,-2.66,-44.44,-0.41,3.91,-1.92,5.93,14.95,14.13,-21.37,12.58,5.95,18.7,11.37,11.09,7.97,-7.28,6.38,4.39,23.58,6.01
1.77,-7.2,-13.28,-2.31,-0.48,-6.45,-4.54,-0.38,-40.0,3.23,-0.92,2.81,-0.66,-11.64,-0.21,-57.89,-14.93,1.18,-6.02,-8.44,-0.22,-12.55,-46.49,-3.66,1.5,-3.22,1.99
2.59,-1.95,-5.17,5.04,-4.56,-0.22,-1.83,-1.35,133.33,-4.45,-1.08,-2.7,-5.72,5.84,-1.23,28.66,-8.88,4.88,2.18,4.44,7.65,-5.27,20.43,1.57,-1.63,3.04,6.08
-0.1,-8.03,-2.8,-5.42,-8.46,-8.57,-6.64,-16.19,0.0,-5.82,-8.32,-3.99,-2.72,3.02,4.32,-26.25,30.08,-1.49,-0.66,7.28,1.08,-12.13,-14.25,3.22,-1.47,4.9,-0.42
11.92,1.17,8.7,32.43,-0.02,4.29,3.46,3.68,0.0,3.27,1.78,4.76,3.52,2.18,13.31,107.62,7.2,5.34,11.38,16.74,17.04,17.89,73.32,25.1,15.04,8.85,5.02
