,week,avg_sentiment,label,week_label
0,2019-01-28,0.0682075210096523,2019,Jan_4th_week
1,2019-02-04,0.0710438132350107,2019,Feb_1st_week
2,2019-02-11,0.0737961268196505,2019,Feb_2nd_week
3,2019-02-18,0.0699995930436291,2019,Feb_3rd_week
4,2019-02-25,0.0694180423165259,2019,Feb_4th_week
5,2019-03-04,0.0699016050884533,2019,Mar_1st_week
6,2019-03-11,0.0686213639682471,2019,Mar_2nd_week
7,2019-03-18,0.0681047968480066,2019,Mar_3rd_week
8,2019-03-25,0.0703939822217711,2019,Mar_4th_week
9,2019-04-01,0.0697642221859824,2019,Apr_1st_week
10,2019-04-08,0.068270345142382,2019,Apr_2nd_week
11,2019-04-15,0.0705475559048401,2019,Apr_3rd_week
12,2019-04-22,0.0689128922106741,2019,Apr_4th_week
13,2019-04-29,0.0709397478432483,2019,Apr_5th_week
14,2020-01-27,0.0527465322053294,2020,Jan_4th_week
15,2020-02-03,0.0725568051368247,2020,Feb_1st_week
16,2020-02-10,0.0734150032558922,2020,Feb_2nd_week
17,2020-02-17,0.0745862154838216,2020,Feb_3rd_week
18,2020-02-24,0.0724708755694982,2020,Feb_4th_week
19,2020-03-02,0.0713627112505094,2020,Mar_1st_week
20,2020-03-09,0.0745502309447463,2020,Mar_2nd_week
21,2020-03-16,0.0720934886887613,2020,Mar_3rd_week
22,2020-03-23,0.0740324077339844,2020,Mar_4th_week
23,2020-03-30,0.0733916300935222,2020,Mar_5th_week
24,2020-04-06,0.07197250982231,2020,Apr_1st_week
25,2020-04-13,0.0738770755663744,2020,Apr_2nd_week
26,2020-04-20,0.0745756814143019,2020,Apr_3rd_week
27,2020-04-27,0.0741522406526896,2020,Apr_4th_week
